model,checkpoint_path,checkpoint_step,benchmark,pair_scope,variant,config_index,n_configs,field_types,manifest_field_types,candidate_pairs,error,roc_auc,pr_auc,oracle_pair_f1,oracle_pair_threshold
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,19,135,title:text; authors:identifier; venue:text; year:numeric,title:text; authors:text; venue:text; year:categorical,250000,,0.9852609819639279,0.18433512299630633,0.26172465960665653,0.9999873638153076
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,20,135,title:text; authors:identifier; venue:text; year:date,title:text; authors:text; venue:text; year:categorical,250000,,0.9988863767535071,0.7484993307674604,0.7051039697542533,0.9998493194580078
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,21,135,title:text; authors:identifier; venue:identifier; year:text,title:text; authors:text; venue:text; year:categorical,250000,,0.9979111823647295,0.805960664879286,0.7716849451645065,0.9995228052139282
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,22,135,title:text; authors:identifier; venue:identifier; year:identifier,title:text; authors:text; venue:text; year:categorical,250000,,0.9979111823647295,0.805960664879286,0.7716849451645065,0.9995228052139282
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,23,135,title:text; authors:identifier; venue:identifier; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.9994240280561122,0.8641822834223691,0.8338081671415005,0.9998630285263062
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,24,135,title:text; authors:identifier; venue:identifier; year:numeric,title:text; authors:text; venue:text; year:categorical,250000,,0.9852609659318636,0.18433507912757816,0.26172465960665653,0.9999873638153076
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,25,135,title:text; authors:identifier; venue:identifier; year:date,title:text; authors:text; venue:text; year:categorical,250000,,0.9988863767535071,0.7484993307674604,0.7051039697542533,0.9998493194580078
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,26,135,title:text; authors:identifier; venue:categorical; year:text,title:text; authors:text; venue:text; year:categorical,250000,,0.816847130260521,0.004973945031839111,0.01363618654303191,0.18034665286540985
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,27,135,title:text; authors:identifier; venue:categorical; year:identifier,title:text; authors:text; venue:text; year:categorical,250000,,0.816847130260521,0.004973945031839111,0.01363618654303191,0.18034665286540985
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,28,135,title:text; authors:identifier; venue:categorical; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.9576162324649299,0.02515215764802609,0.05965632767751,0.9858933687210083
